column_0,column_1,ticker
1691798400000.0,1.2465325313798327e-6,pepe
1691884800000.0,1.3472355927795313e-6,pepe
1691971200000.0,1.3679112883309787e-6,pepe
1692057600000.0,1.4096666700283208e-6,pepe
1692144000000.0,1.2676864430742956e-6,pepe
1692230400000.0,1.1666644572427121e-6,pepe
1692316800000.0,1.0799692625354535e-6,pepe
1692403200000.0,1.0905016797347442e-6,pepe
1692489600000.0,1.1350869364238667e-6,pepe
1692576000000.0,1.129675050254524e-6,pepe
1692662400000.0,1.0890121966452272e-6,pepe
1692748800000.0,1.0679363666680205e-6,pepe
1692835200000.0,1.1020792483623443e-6,pepe
1692921600000.0,9.452084615085096e-7,pepe
1693008000000.0,8.842053697437141e-7,pepe
1693094400000.0,8.671384835828347e-7,pepe
1693180800000.0,8.944119535814888e-7,pepe
1693267200000.0,8.582595219778262e-7,pepe
1693353600000.0,8.970480475396784e-7,pepe
1693440000000.0,8.676961407049358e-7,pepe
1693526400000.0,8.039439082989195e-7,pepe
1693612800000.0,7.79114245744176e-7,pepe
1693699200000.0,7.838507770287761e-7,pepe
1693785600000.0,8.068576353091636e-7,pepe
1693872000000.0,8.000496051326511e-7,pepe
1693958400000.0,8.004707621593944e-7,pepe
1694044800000.0,7.978801541001202e-7,pepe
1694131200000.0,8.04859396681093e-7,pepe
1694217600000.0,7.979745685887187e-7,pepe
1694304000000.0,7.859906451935994e-7,pepe
1694390400000.0,7.066122263134113e-7,pepe
1694476800000.0,6.687781007509873e-7,pepe
1694563200000.0,6.728319905301714e-7,pepe
1694649600000.0,6.76567518825935e-7,pepe
1694736000000.0,6.825068721550887e-7,pepe
1694822400000.0,6.847482060519207e-7,pepe
1694908800000.0,6.763966765169039e-7,pepe
1694995200000.0,6.297121564375203e-7,pepe
1695081600000.0,6.283104212570683e-7,pepe
1695168000000.0,6.415975903934773e-7,pepe
1695254400000.0,6.270059915659006e-7,pepe
1695340800000.0,6.116872453005126e-7,pepe
1695427200000.0,7.156083490183024e-7,pepe
1695513600000.0,6.76416786914989e-7,pepe
1695600000000.0,6.73859088814766e-7,pepe
1695686400000.0,7.121221187496202e-7,pepe
1695772800000.0,6.957124068321922e-7,pepe
1695859200000.0,7.353843521359976e-7,pepe
1695945600000.0,7.334563726494297e-7,pepe
1696032000000.0,7.945072555045928e-7,pepe
1696118400000.0,8.013507470516666e-7,pepe
1696204800000.0,8.139101156809742e-7,pepe
1696291200000.0,7.464436318187859e-7,pepe
1696377600000.0,7.268852559767817e-7,pepe
1696464000000.0,7.171502641221253e-7,pepe
1696550400000.0,7.032483408526452e-7,pepe
1696636800000.0,7.24370622266368e-7,pepe
1696723200000.0,7.087810817795941e-7,pepe
1696809600000.0,7.181992760222897e-7,pepe
1696896000000.0,6.682503671812539e-7,pepe
1696982400000.0,6.46161595054065e-7,pepe
1697068800000.0,6.381146320855495e-7,pepe
1697155200000.0,6.257406307923943e-7,pepe
1697241600000.0,6.501529193442609e-7,pepe
1697328000000.0,6.460601033004433e-7,pepe
1697414400000.0,6.656100146335978e-7,pepe
1697500800000.0,6.758459674221154e-7,pepe
1697587200000.0,6.357211864325804e-7,pepe
1697673600000.0,6.340653069700136e-7,pepe
1697760000000.0,6.28408192115281e-7,pepe
1697846400000.0,6.545293566051764e-7,pepe
1697932800000.0,6.990458061557999e-7,pepe
1698019200000.0,7.481812161177331e-7,pepe
1698105600000.0,9.79990473018326e-7,pepe
1698192000000.0,9.235920855275547e-7,pepe
1698278400000.0,1.2110442800266799e-6,pepe
1698364800000.0,1.2812496059105777e-6,pepe
1698451200000.0,1.1642041993194304e-6,pepe
1698537600000.0,1.1439336871184892e-6,pepe
1698624000000.0,1.1430060863745444e-6,pepe
1698710400000.0,1.1737479994961924e-6,pepe
1698796800000.0,1.1488873114510067e-6,pepe
1698883200000.0,1.18161348264265e-6,pepe
1698969600000.0,1.0892937850044847e-6,pepe
1699056000000.0,1.080277880355182e-6,pepe
1699142400000.0,1.1179542006391368e-6,pepe
1699228800000.0,1.1231473555411912e-6,pepe
1699315200000.0,1.1926787535472844e-6,pepe
1699401600000.0,1.1656598602292e-6,pepe
1699488000000.0,1.1944435753501252e-6,pepe
1699574400000.0,1.350946980971977e-6,pepe
1699660800000.0,1.328475177619337e-6,pepe
1699747200000.0,1.2780913059300631e-6,pepe
1699833600000.0,1.2292244426336685e-6,pepe
1699920000000.0,1.176717898228381e-6,pepe
1700006400000.0,1.151516167203133e-6,pepe
1700092800000.0,1.2567964943383102e-6,pepe
1700179200000.0,1.1422932672876773e-6,pepe
1700265600000.0,1.148891369118828e-6,pepe
1700352000000.0,1.149841469240848e-6,pepe
1700438400000.0,1.1911485995545636e-6,pepe
1700524800000.0,1.1356757480246255e-6,pepe
1700611200000.0,1.0424654477353911e-6,pepe
1700697600000.0,1.1098320920425629e-6,pepe
1700784000000.0,1.0721895411084896e-6,pepe
1700870400000.0,1.10928129777362e-6,pepe
1700956800000.0,1.1781354396072834e-6,pepe
1701043200000.0,1.1162203361904902e-6,pepe
1701129600000.0,1.0825560273523569e-6,pepe
1701216000000.0,1.09282482844269e-6,pepe
1701302400000.0,1.0571459760362572e-6,pepe
1701388800000.0,1.0860316248874762e-6,pepe
1701475200000.0,1.1050841431462176e-6,pepe
1701561600000.0,1.1649059869719586e-6,pepe
1701648000000.0,1.203347238336907e-6,pepe
1701734400000.0,1.3901195231106695e-6,pepe
1701820800000.0,1.612200873341242e-6,pepe
1701907200000.0,1.4904820570266786e-6,pepe
1701993600000.0,1.520709238040399e-6,pepe
1702080000000.0,1.5738285929371285e-6,pepe
1702166400000.0,1.5315103072650039e-6,pepe
1702252800000.0,1.604609700797178e-6,pepe
1702339200000.0,1.4164675386518836e-6,pepe
1702425600000.0,1.3975798149266797e-6,pepe
1702512000000.0,1.410006990059929e-6,pepe
1702598400000.0,1.449554990895113e-6,pepe
1702684800000.0,1.3305704129347636e-6,pepe
1702771200000.0,1.4201440398244158e-6,pepe
1702857600000.0,1.3361991556863495e-6,pepe
1702944000000.0,1.3070138135767381e-6,pepe
1703030400000.0,1.248362675321042e-6,pepe
