column_0,column_1,ticker
1691798400000.0,0.000010472700411106439,shiba-inu
1691884800000.0,0.000010714938609597207,shiba-inu
1691971200000.0,0.000010266060390906571,shiba-inu
1692057600000.0,0.000010221980863695542,shiba-inu
1692144000000.0,9.947208688010211e-6,shiba-inu
1692230400000.0,9.27062227807275e-6,shiba-inu
1692316800000.0,8.106578575934428e-6,shiba-inu
1692403200000.0,8.56948537482446e-6,shiba-inu
1692489600000.0,8.440491172338903e-6,shiba-inu
1692576000000.0,8.314398728469526e-6,shiba-inu
1692662400000.0,7.971104873271067e-6,shiba-inu
1692748800000.0,7.986867600787843e-6,shiba-inu
1692835200000.0,8.315061444144141e-6,shiba-inu
1692921600000.0,8.189514233505132e-6,shiba-inu
1693008000000.0,8.138873480082086e-6,shiba-inu
1693094400000.0,8.084347150797977e-6,shiba-inu
1693180800000.0,8.031544710242105e-6,shiba-inu
1693267200000.0,8.229973033064883e-6,shiba-inu
1693353600000.0,8.366629656738174e-6,shiba-inu
1693440000000.0,8.162724439754457e-6,shiba-inu
1693526400000.0,7.981080383652163e-6,shiba-inu
1693612800000.0,7.881727378273867e-6,shiba-inu
1693699200000.0,7.82557867280766e-6,shiba-inu
1693785600000.0,7.690210551493437e-6,shiba-inu
1693872000000.0,7.491025686577324e-6,shiba-inu
1693958400000.0,7.64183289878247e-6,shiba-inu
1694044800000.0,7.677441143296347e-6,shiba-inu
1694131200000.0,7.671091602454278e-6,shiba-inu
1694217600000.0,7.595647647982991e-6,shiba-inu
1694304000000.0,7.562040041351188e-6,shiba-inu
1694390400000.0,7.3645830569680554e-6,shiba-inu
1694476800000.0,7.039976415209233e-6,shiba-inu
1694563200000.0,7.187684348107266e-6,shiba-inu
1694649600000.0,7.254822092142383e-6,shiba-inu
1694736000000.0,7.3570984859263836e-6,shiba-inu
1694822400000.0,7.4540905873701155e-6,shiba-inu
1694908800000.0,7.4008475784412745e-6,shiba-inu
1694995200000.0,7.214591657162003e-6,shiba-inu
1695081600000.0,7.26006854041354e-6,shiba-inu
1695168000000.0,7.4128432304025176e-6,shiba-inu
1695254400000.0,7.438487439821972e-6,shiba-inu
1695340800000.0,7.248606211006533e-6,shiba-inu
1695427200000.0,7.304118578086922e-6,shiba-inu
1695513600000.0,7.511378565137869e-6,shiba-inu
1695600000000.0,7.298223479887681e-6,shiba-inu
1695686400000.0,7.288012344873708e-6,shiba-inu
1695772800000.0,7.259583009206668e-6,shiba-inu
1695859200000.0,7.215710806302082e-6,shiba-inu
1695945600000.0,7.307551219846134e-6,shiba-inu
1696032000000.0,7.313578485477836e-6,shiba-inu
1696118400000.0,7.3374781539940485e-6,shiba-inu
1696204800000.0,7.521983371481118e-6,shiba-inu
1696291200000.0,7.330899302437884e-6,shiba-inu
1696377600000.0,7.274884302687024e-6,shiba-inu
1696464000000.0,7.246932689176292e-6,shiba-inu
1696550400000.0,7.147594706050957e-6,shiba-inu
1696636800000.0,7.241583312758639e-6,shiba-inu
1696723200000.0,7.2355743797841e-6,shiba-inu
1696809600000.0,7.201053294611055e-6,shiba-inu
1696896000000.0,6.912623330172762e-6,shiba-inu
1696982400000.0,6.901861050883089e-6,shiba-inu
1697068800000.0,6.76370242644366e-6,shiba-inu
1697155200000.0,6.7944502060609075e-6,shiba-inu
1697241600000.0,6.902867183694603e-6,shiba-inu
1697328000000.0,7.024093038986695e-6,shiba-inu
1697414400000.0,6.980129509117851e-6,shiba-inu
1697500800000.0,7.1109307058211475e-6,shiba-inu
1697587200000.0,6.898621722454596e-6,shiba-inu
1697673600000.0,6.773337716122794e-6,shiba-inu
1697760000000.0,6.851833017069031e-6,shiba-inu
1697846400000.0,6.912582828880793e-6,shiba-inu
1697932800000.0,7.06360295342005e-6,shiba-inu
1698019200000.0,7.126096067775274e-6,shiba-inu
1698105600000.0,7.462759991396713e-6,shiba-inu
1698192000000.0,7.39025951933551e-6,shiba-inu
1698278400000.0,7.79517362250548e-6,shiba-inu
1698364800000.0,7.898352475249156e-6,shiba-inu
1698451200000.0,7.698118085518645e-6,shiba-inu
1698537600000.0,7.963951397435455e-6,shiba-inu
1698624000000.0,8.01989258010464e-6,shiba-inu
1698710400000.0,7.98144489276532e-6,shiba-inu
1698796800000.0,7.786879692298457e-6,shiba-inu
1698883200000.0,7.94342552893732e-6,shiba-inu
1698969600000.0,7.852601967418394e-6,shiba-inu
1699056000000.0,7.822964665482685e-6,shiba-inu
1699142400000.0,7.942179018361591e-6,shiba-inu
