descr,bitcoin-cash,dogecoin,z,x_dif,y_dif,trade_pnl,date,cumulative_pnl
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-04,0.07108201601271946
close short,193.642333984375,0.06322655826807022,-0.03616820648312569,-0.13609095258465878,-0.046705678589297965,0.08938527399536081,2023-09-05,0.16046729000808027
long,192.04478454589844,0.0639820471405983,-0.5969993472099304,-0.008250000945585942,0.01194891661388443,0.0,2023-09-06,0.16046729000808027
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-07,0.16046729000808027
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-08,0.16046729000808027
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-09,0.16046729000808027
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-10,0.16046729000808027
close long,190.4068603515625,0.061319660395383835,0.44561338424682617,-0.008528865796636491,-0.04161146546880504,0.03308259967216855,2023-09-11,0.19354988968024883
short,198.979736328125,0.060979608446359634,1.9006223678588867,0.045023986849705704,-0.005545561518631627,0.0,2023-09-12,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-13,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-14,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-15,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-16,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-17,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-18,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-19,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-20,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-21,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-22,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-23,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-24,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-25,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-26,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-27,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-28,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-29,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-09-30,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-01,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-02,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-03,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-04,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-05,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-06,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-07,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-08,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-09,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-10,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-11,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-12,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-13,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-14,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-15,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-16,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-17,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-18,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-19,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-20,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-21,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-22,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-23,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-24,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-25,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-26,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-27,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-28,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-29,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-30,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-10-31,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-01,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-02,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-03,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-04,0.19354988968024883
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-05,0.19354988968024883
close short,238.50376892089844,0.07124068588018417,-0.2359863519668579,0.19863345545697594,0.16827063497547115,-0.030362820481504793,2023-11-06,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-07,0.16318706919874404
long,246.02099609375,0.07555437833070755,-0.5167643427848816,0.03151827414242962,0.06055096743142452,0.0,2023-11-08,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-09,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-10,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-11,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-12,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-13,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-14,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-15,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-16,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-17,0.16318706919874404
,0.0,0.0,0.0,0.0,0.0,0.0,2023-11-18,0.16318706919874404
