timestamp,aptos,arbitrum,avalanche-2,binancecoin,bitcoin-cash,bitcoin,bonk,cardano,chainlink,cosmos,dogecoin,ethereum,floki,injective-protocol,litecoin,matic-network,near,optimism,pepe,polkadot,ripple,shiba-inu,solana,sui,the-open-network,thorchain,tron
2023-08-11,7.0971203,1.1575074,12.440173,239.59583,228.95767,29396.848,3.398028e-7,0.29332468,7.48495,8.361043,0.075713724,1847.5419,0.000022754271,7.629209,83.50801,0.6803814,1.3325443,1.5862886,0.0000012465325,5.0028634,0.6316176,0.0000104727005,24.57981,0.60481507,1.2996806,1.1414318,0.07712927
2023-08-13,7.203747,1.1623077,12.385306,240.08844,228.58878,29412.143,3.404862e-7,0.29166576,7.4379983,8.412474,0.07669635,1848.5052,0.000023212597,7.6581616,83.399574,0.68137145,1.3418067,1.551729,0.0000013472356,5.032357,0.62708074,0.000010714939,24.891819,0.6077524,1.3690807,1.2707086,0.077441685
2023-08-14,7.058094,1.1406136,12.259066,240.03079,228.38716,29284.969,3.353646e-7,0.2893724,7.3682137,8.369781,0.07477775,1839.5128,0.000022952872,7.7100983,81.94623,0.6771991,1.3424488,1.5387756,0.0000013679113,4.9848075,0.6256892,0.000010266061,24.223293,0.59775877,1.3992751,1.3849831,0.0770978
2023-08-15,7.065962,1.1407834,12.352482,240.35806,230.11996,29400.586,3.3180385e-7,0.29045182,7.411531,8.501039,0.07476435,1843.5134,0.000023801918,7.5669694,82.043495,0.67942613,1.3343983,1.5325075,0.0000014096667,4.9862986,0.6346809,0.000010221981,25.147724,0.5991956,1.4369817,1.4665195,0.07740802
2023-08-16,6.1804214,1.0488509,11.371465,232.09549,208.30388,28754.197,3.0800882e-7,0.27485216,6.759309,7.798525,0.06731246,1809.4604,0.000021230013,7.054157,74.44278,0.6237921,1.2106036,1.404876,0.0000011666644,4.6644063,0.5892529,0.000009270622,22.846367,0.5260105,1.4031328,1.447245,0.074735984
2023-08-18,5.663212,0.982499,10.542332,217.79553,183.80046,26501.588,2.766326e-7,0.2543608,6.177776,7.3991423,0.061057307,1675.8622,0.000018198714,7.078706,64.66428,0.57183045,1.1158893,1.360737,0.0000010799693,4.4219584,0.50453645,0.000008106578,21.646961,0.47359124,1.3203124,1.4810182,0.07244716
2023-08-19,5.827034,1.0068241,10.800818,215.97292,187.27808,26042.838,2.6776598e-7,0.26368794,6.1698275,7.583565,0.06318901,1660.6791,0.000018416978,7.8879657,64.077,0.5773579,1.1419713,1.44028,0.0000010905017,4.510154,0.5055391,0.0000085694855,21.330196,0.48442188,1.2770736,1.6190369,0.0729947
2023-08-20,6.0170126,1.0205854,10.807374,217.07552,186.95462,26104.78,2.7468306e-7,0.2681859,6.1753693,7.7084355,0.0637339,1669.2334,0.00001873538,7.75014,64.10083,0.57656455,1.1649489,1.472431,0.0000011350869,4.51518,0.51973355,0.000008440491,21.87833,0.5557575,1.347955,1.7149113,0.07409392
2023-08-21,5.950176,0.9963737,10.360422,210.58829,185.98106,26119.006,2.4693682e-7,0.26294225,6.17523,7.5485554,0.062501155,1666.8405,0.00001838914,7.4607644,66.916794,0.5573954,1.1319922,1.5312055,0.0000010890122,4.4306974,0.52440554,0.000007971104,21.202108,0.5142687,1.3625793,1.7390776,0.07517492
2023-08-22,5.842681,0.98132604,10.124646,210.83832,184.79942,26033.676,2.421623e-7,0.25838202,6.1105103,7.3919187,0.0625788,1635.1913,0.00001803248,7.328962,64.92408,0.5483895,1.1658708,1.5779893,0.0000010679364,4.420464,0.52092355,0.000007986868,20.553892,0.53735346,1.3752172,1.5688964,0.0755356
